name,code,hex,detail_block,accent_friends,trim_friends,url
"TROPICAL SPLASH","PPG1233-5","#70CBCE","PPG1233-5
Tropical Splash is a saturated, pure, tropical turquoise aqua with an aquamarine undertone. It is a perfect paint color for a rich and sophisticated room. Pair it with berry infused violets and lighter teal tones for adjoining walls.
Comparable to:
Timberlake Teal     90GG 45/254
R: 112 G: 203 B: 206 LRV: 52
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/tropical-splash"
"TINT OF TURQUOISE","PPG1232-5","#41BFB5","PPG1232-5
Tint Of Turquoise is a saturated, pure, teal aqua-green with a jewel undertone. It is a perfect paint color for a fun loving room of your choice. Pair it with white trim and a touch of coral for an accent in accessories.
R: 65 G: 191 B: 181 LRV: 42
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/tint-of-turquoise"
"MONTEGO BAY","PPG1233-6","#3FBABD","PPG1233-6
Montego Bay is a deep, pure, tropical turquoise aqua with an aquamarine undertone. It is a perfect paint color for use on interior or exterior projects. Pair it with soft-white trim and black accents.
R: 63 G: 186 B: 189 LRV: 40
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/montego-bay"
"ARTESIAN WELL","PPG1231-5","#5EB2AA","PPG1231-5
Artesian Well is a saturated, bright, teal aqua with a jewel undertone. It is a perfect paint color for a wrap-around porch ceiling or an elegant and restful bedroom. Pair it with white trim and delightful accents.
R: 94 G: 178 B: 170 LRV: 36
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/artesian-well"
"BISCAY BAY","PPG1234-5","#4FB3B3","PPG1234-5
Biscay Bay is a saturated, bright, tropical turquoise aqua with an aquamarine undertone. It is a perfect paint color for any room. Pair it with coral and sand colors.
Comparable to:
Caribbean Teal   90GG 39/272
R: 79 G: 179 B: 179 LRV: 38
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/biscay-bay"
"BLUE CALYPSO","PPG1235-5","#55A7B6","PPG1235-5
Blue Calypso is a saturated, bright, marine aqua-blue with a gorgeous deep-water undertone. It is a perfect paint color for an accent wall in a bedroom or dining room. Pair it with lighter shades of this color.
R: 85 G: 167 B: 182 LRV: 34
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/blues/blue-calypso"
"ACAPULCO CLIFFS","PPG1150-5","#4E9AA8","PPG1150-5
Acapulco Cliffs is a saturated, muted, marine aqua-blue with a gorgeous deep-water undertone. It is a perfect paint color for a tropical themed bedroom. Pair it with off-white and charcoal accents or reclaimed wood.
R: 78 G: 154 B: 168 LRV: 28
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/blues/acapulco-cliffs"
"TEAL BAYOU","PPG1147-5","#57A1A0","PPG1147-5
Teal Bayou is a saturated, muted, tropical turquoise aqua with an aquamarine undertone. It is a perfect paint color for an accent wall. Pair it with lighter yellow surrounding walls.
Comparable to:
Niagara Reef Jade     70GG 25/242
Dark Tourmaline    70GG 31/228
R: 87 G: 161 B: 160 LRV: 32
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/teal-bayou"
"CATALINA","PPG1142-5","#72A49F","PPG1142-5
Catalina is a saturated, muted, teal aqua-green with a jewel undertone. It is a perfect paint color for a soothing space. Pair it with added touches of light violet tones.
R: 114 G: 164 B: 159 LRV: 32
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/catalina"
"TREASURE ISLE","PPG1141-5","#609D91","PPG1141-5
Treasure Isle is a saturated, subdued, emerald aqua-green with a hint of blue undertone. It is a perfect paint color for a dramatic dining room. Pair it with luxurious golds for a harmonious setting.
R: 96 G: 157 B: 145 LRV: 29
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/treasure-isle"
"PALMETTO","PPG1146-5","#6D9A9B","PPG1146-5
Palmetto is a saturated, subdued, jade aqua with a malachite undertone. It is a perfect paint color for a foyer. Pair it with graphic floral artwork for exciting accents.
Comparable to:
Teal Riviera     90GG 24/174
Island Turquoise    90GG 29/164
Teal Lake    90GG 30/195
R: 109 G: 154 B: 155 LRV: 29
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/palmetto"
"CATHEDRAL GLASS","PPG1148-5","#7A999C","PPG1148-5
Cathedral Glass is a saturated, shaded, Caribbean aqua with a turquoise undertone. It is a perfect paint color for kitchen cabinets. Pair it with a deeper dark aqua trim.
R: 122 G: 153 B: 156 LRV: 29
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/cathedral-glass"
"GREEN GRANITE","PPG1144-5","#7C9793","PPG1144-5
Green Granite is a saturated, shaded, jade aqua-green with a malachite undertone. It is a perfect paint color for any desired space. Pair it with deeper wood tones.
R: 124 G: 151 B: 147 LRV: 28
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/green-granite"
"YUCCA","PPG1143-5","#75978F","PPG1143-5
Yucca is a saturated, shaded, emerald aqua-green with a hint of blue undertone. It is a perfect paint color for a restful bedroom. Pair it with off-white trim or honeyed woods.
R: 117 G: 151 B: 143 LRV: 28
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/yucca"
"SPRUCE SHADE","PPG1136-5","#91A49D","PPG1136-5
Spruce Shade is a saturated, neutral, emerald aqua-green with a hint of blue undertone. It is a perfect paint color for a dining room. Pair it with deep cherry wood furniture.
R: 145 G: 164 B: 157 LRV: 34
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/spruce-shade"
"AQUA SMOKE","PPG1034-5","#8C9FA0","PPG1034-5
Aqua Smoke is a saturated, neutral, Caribbean aqua with a turquoise undertone. It is a perfect paint color for an accent wall or the exterior of your home. Pair it with dark green trim.
R: 140 G: 159 B: 160 LRV: 33
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/aqua-smoke"
"SCARBOROUGH","PPG1145-5","#809391","PPG1145-5
Scarborough is a saturated, neutral, jade aqua-green with a malachite undertone. It is a perfect paint color for a bedroom. Pair it with off-white trim or tinted light greens.
R: 128 G: 147 B: 145 LRV: 27
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/scarborough"
"DWARF SPRUCE","PPG1136-6","#71847D","PPG1136-6
Dwarf Spruce is a deep, neutral, emerald aqua-green with a hint of blue undertone. It is a perfect paint color for a bedroom or an accent wall. Pair it with rich jewel toned accents.
R: 113 G: 132 B: 125 LRV: 21
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/dwarf-spruce"
"BLUE BLOOD","PPG1034-6","#6B7F81","PPG1034-6
Blue Blood is a deep, neutral, Caribbean aqua with a turquoise undertone. It is a perfect paint color for an accent wall in a living room. Pair it with this rich hue.
R: 107 G: 127 B: 129 LRV: 20
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/blue-blood"
"SORCERER'S SPELL","PPG10-02","#657D85","PPG10-02
Sorcerer's Spell is a saturated, gray, Caribbean aqua with a turquoise undertone. It is a perfect paint color for a nautical theme or an accent wall, dining room, kitchen or painted cabinets. Pair it with light gray for contrast and select colorful accessories.
R: 101 G: 125 B: 133 LRV: 20
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/neutrals/sorcerer-s-spell"
"ARTIFACT","PPG10-16","#69808B","PPG10-16
Artifact is a saturated, gray, Caribbean aqua with a turquoise undertone. It is a perfect paint color for a nautical theme or an accent wall, dining room, kitchen or painted cabinets. Pair it with light gray for contrast.
R: 105 G: 128 B: 139 LRV: 21
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/neutrals/artifact"
"PUDDLE JUMPER","PPG1035-5","#6A8389","PPG1035-5
Puddle Jumper is a saturated, gray, Caribbean aqua with a turquoise undertone. It is a perfect paint color for a nautical theme or an accent wall, dining room, kitchen or painted cabinets. Pair it with light gray.
R: 106 G: 131 B: 137 LRV: 22
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/puddle-jumper"
"TWILIGHT STROLL","PPG10-03","#71898D","PPG10-03
Twilight Stroll is a saturated, gray, Caribbean aqua with a turquoise undertone. It is a perfect paint color for a colonial feel or a delightful surprise as kitchen cabinets or painted furniture. Pair it with select colorful accessories for a punch of color.
R: 113 G: 137 B: 141 LRV: 24
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/neutrals/twilight-stroll"
"SYMPHONY OF BLUE","PPG1035-4","#89A0A6","PPG1035-4
Symphony Of Blue is a midtone, gray, Caribbean aqua with a turquoise undertone. It is a perfect paint color for a colonial feel or a delightful surprise as kitchen cabinets or painted furniture. Pair it with off-white trim.
R: 137 G: 160 B: 166 LRV: 34
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/symphony-of-blue"
"PARAKEET PETE","PPG1143-4","#94B1A9","PPG1143-4
Parakeet Pete is a midtone, shaded, emerald aqua-green with a hint of blue undertone. It is a perfect paint color for a kitchen. Pair it with darker wood tones.
R: 148 G: 177 B: 169 LRV: 40
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/parakeet-pete"
"BLUE BY YOU","PPG1035-3","#A0B7BA","PPG1035-3
Blue By You is a soft, gray, airy aqua with a baby blue undertone. It is a perfect paint color for a dining room or kitchen in a country house, or a spa-like appearance in a bedroom or bath. Pair it with off-white trim and touches of gold.
R: 160 G: 183 B: 186 LRV: 46
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/blue-by-you"
"HOLLY GLEN","PPG1144-4","#A2B7B5","PPG1144-4
Holly Glen is a midtone, shaded, jade aqua-green with a malachite undertone. It is a perfect paint color for a bedroom. Pair it with soft, off-white trim.
R: 162 G: 183 B: 181 LRV: 45
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/holly-glen"
"BLUE WILLOW","PPG1145-4","#A8BBBA","PPG1145-4
One of the best paint colors for bedrooms, bathrooms, or kitchens - Blue Willow is a midtone, neutral, jade aqua-green with a malachite undertone. Pair it with off-white trim.
R: 168 G: 187 B: 186 LRV: 47
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/blue-willow"
"MISTY SURF","PPG1034-4","#B5C8C9","PPG1034-4
Misty Surf is a midtone, neutral, Caribbean aqua with a turquoise undertone. It is a perfect paint color for all the walls in a bedroom, bath or stunning kitchen. Pair it with white and accent with soft yellows.
R: 181 G: 200 B: 201 LRV: 55
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/misty-surf"
"GALE FORCE","PPG10-08","#BFC8C3","PPG10-08
Gale Force is a midtone, neutral, emerald aqua-green with a hint of blue undertone. It is a perfect paint color for a bedroom. Pair it with white trim.
R: 191 G: 200 B: 195 LRV: 56
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/greens/gale-force"
"BLUE SHAMROCK","PPG1136-4","#BACBC4","PPG1136-4
Blue Shamrock is a midtone, neutral, emerald aqua-green with a hint of blue undertone. It is a perfect paint color for a bedroom. Pair it with off-white trim.
R: 186 G: 203 B: 196 LRV: 57
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/blue-shamrock"
"LAZY RIVER","PPG1148-4","#A1BDBF","PPG1148-4
Lazy River is a midtone, shaded, Caribbean aqua with a turquoise undertone. It is a perfect paint color for a bathroom. Pair it with soft off-white for a harmonious look.
Comparable to:
Key Largo Bay     30BG 49/101
R: 161 G: 189 B: 191 LRV: 48
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/lazy-river"
"FROSTY GLADE","PPG1146-4","#A0C0BF","PPG1146-4
Frosty Glade is a midtone, subdued, jade aqua with a malachite undertone. It is a perfect paint color for a bedroom or bathroom. Pair it with soft, creamy off-white.
Comparable to:
Trattoria Teal     90GG 48/132
R: 160 G: 192 B: 191 LRV: 48
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/frosty-glade"
"CARIBBEAN GREEN","PPG1141-4","#89BAB2","PPG1141-4
Caribbean Green is a midtone, subdued, emerald aqua-green with a hint of blue undertone. It is a perfect paint color for a bedroom. Pair it with off-white and sand tone accents.
R: 137 G: 186 B: 178 LRV: 44
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/caribbean-green"
"PITTER PATTER","PPG1142-4","#9BC2BD","PPG1142-4
Pitter Patter is a midtone, muted, teal aqua-green with a jewel undertone. It is a perfect paint color for a kitchen or dining room. Pair it with graphic floral artwork.
R: 155 G: 194 B: 189 LRV: 49
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/pitter-patter"
"AQUA FIESTA","PPG1147-4","#8CC3C3","PPG1147-4
Aqua Fiesta is a midtone, muted, tropical turquoise aqua with an aquamarine undertone. It is a perfect paint color for a bedroom, bathroom or kitchen. Pair it with light cream accents.
R: 140 G: 195 B: 195 LRV: 51
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/aqua-fiesta"
"KINGSTON AQUA","PPG1150-4","#8FBCC4","PPG1150-4
Kingston Aqua is a midtone, muted, marine aqua-blue with a gorgeous deep-water undertone. It is a perfect paint color for a calming bedroom. Pair it with sandy tones for a beachy theme.
R: 143 G: 188 B: 196 LRV: 46
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/blues/kingston-aqua"
"IDYLLIC ISLE","PPG1235-4","#94C8D2","PPG1235-4
Idyllic Isle is a midtone, bright, marine aqua-blue with a gorgeous deep-water undertone. It is a perfect paint color for an outstanding main wall. Pair it with white trim and assorted earth toned hues for accessories.
R: 148 G: 200 B: 210 LRV: 55
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/blues/idyllic-isle"
"FLING GREEN","PPG1234-4","#8ECFD0","PPG1234-4
Fling Green is a midtone, bright, tropical turquoise aqua with an aquamarine undertone. It is a perfect paint color for a teen room. Pair it with light woods.
Comparable to:
Echo Lake Aqua     87GG 60/239
Bermuda Bay    90GG 51/211
Soft Aqua Stone    90GG 58/171
Glistening Teal    90GG 59/196
R: 142 G: 207 B: 208 LRV: 55
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/fling-green"
"TROPICAL HOLIDAY","PPG1231-4","#8FCDC7","PPG1231-4
Tropical Holiday is a midtone, bright, teal aqua with a jewel undertone. It is a perfect paint color for a children's room. Pair it with soft yellows to lighten the surrounding walls.
Comparable to:
Soft Schooner Green     50GG 48/194
R: 143 G: 205 B: 199 LRV: 53
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/tropical-holiday"
"CARIBBEAN CRUSH","PPG17-31","#86C7BF","PPG17-31
Caribbean Crush is a midtone, bright, teal aqua with a jewel undertone. It is a perfect paint color for a kid's room. Pair it with white trim and gold accents.
R: 134 G: 199 B: 191 LRV: 51
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/aquas/caribbean-crush"
"ISLE ROYALE","PPG1232-4","#80D7CF","PPG1232-4
Isle Royale is a midtone, pure, teal aqua-green with a jewel undertone. It is a perfect paint color for a fun playroom. Pair it with gold tones for contrast in accessories or furniture.
R: 128 G: 215 B: 207 LRV: 59
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/isle-royale"
"SILENT RIPPLE","PPG1232-3","#ABE3DE","PPG1232-3
Silent Ripple is a soft, pure, teal aqua-green with a jewel undertone. It is a perfect paint color for a bedroom or nursery. Pair it with white trim and soft coral accents.
R: 171 G: 227 B: 222 LRV: 70
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/greens/silent-ripple"
"SEASCAPE GREEN","PPG1233-4","#B5E4E4","PPG1233-4
Seascape Green is a midtone, pure, tropical turquoise aqua with an aquamarine undertone. It is a perfect paint color for a half bathroom. Pair it with white and neutral accessories for a balmy, tropical feel.
Comparable to:
Aqua Sky     56GG 77/156
Bay Blue    85GG 74/144
Island Shores    88GG 68/184
Aqua Seawind    90GG 66/157
Sea Breeze Teal    90GG 68/203
R: 181 G: 228 B: 228 LRV: 71
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/seascape-green"
"SURF'S UP","PPG1236-3","#C6E4EB","PPG1236-3
Surf's Up is a soft, pure, marine aqua-blue with a gorgeous deep-water undertone. It is a perfect paint color for a porch floor ceiling. Pair it with white trim on wood elements.
R: 198 G: 228 B: 235 LRV: 74
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/blues/surf-s-up"
"PALE SEAFOAM","PPG1233-3","#C3E7E8","PPG1233-3
Pale Seafoam is a soft, pure, tropical turquoise aqua with an aquamarine undertone. It is a perfect paint color for a master bath. Pair it with a touch of rich woods and light subdued corals to balance the space.
R: 195 G: 231 B: 232 LRV: 75
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/pale-seafoam"
"MINERVA","PPG1231-3","#B5DEDA","PPG1231-3
Minerva is a soft, bright, teal aqua with a jewel undertone. It is a perfect paint color for a bedroom suite, a nursery, a bathroom, or use in a meditation space for a soft, contemplative feel. Pair it with deep toned woods.
R: 181 G: 222 B: 218 LRV: 67
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/minerva"
"AQUA WHISPER","PPG1234-3","#BFDFDF","PPG1234-3
Aqua Whisper is a soft, bright, tropical turquoise aqua with an aquamarine undertone. It is a perfect paint color for any room in the house. Pair it with white trim.
R: 191 G: 223 B: 223 LRV: 69
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","SOURDOUGH (PPG1084-3); MAGIC DUST (PPG13-24)","HORSERADISH (PPG1086-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/aquas/aqua-whisper"
"GALACTICA","PPG1235-3","#C4DDE2","PPG1235-3
Galactica is a soft, bright, marine aqua-blue with a gorgeous deep-water undertone. It is a perfect paint color for a bathroom or bedroom. Pair it with white trim and silvery accents.
R: 196 G: 221 B: 226 LRV: 70
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/blues/galactica"
"EVERGLADE MIST","PPG1150-3","#B7D7DE","PPG1150-3
Everglade Mist is a soft, muted, marine aqua-blue with a gorgeous deep-water undertone. It is a perfect paint color for a spa-like bathroom. Pair it with deep charcoal accents.
R: 183 G: 215 B: 222 LRV: 64
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","ALPACA WOOL (PPG14-19)","OATMEAL (PPG1023-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/blues/everglade-mist"
